source_log,dataset,config_index,size,throughput,avg_acceptance_len,elapsed_time,draft,verify,depth,kv,launch,fixed
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,1,10,40.7,2.94,0.07223587223587223,10.0,11.0,1.0,2.94,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,2,30,48.0,3.57,0.074375,30.0,31.0,1.0,3.57,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,3,60,50.0,3.88,0.0776,60.0,61.0,1.0,3.88,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,4,100,48.5,4.09,0.0843298969072165,100.0,101.0,1.0,4.09,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,5,160,38.7,4.21,0.10878552971576226,160.0,161.0,1.0,4.21,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,6,220,33.9,4.27,0.12595870206489676,220.0,221.0,1.0,4.27,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,7,10,40.9,2.94,0.07188264058679707,10.0,11.0,3.0,2.94,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,8,30,47.5,3.54,0.07452631578947369,30.0,31.0,3.0,3.54,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,9,60,50.2,3.9,0.07768924302788845,60.0,61.0,3.0,3.9,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,10,100,48.3,4.07,0.08426501035196689,100.0,101.0,3.0,4.07,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,11,160,38.7,4.22,0.1090439276485788,160.0,161.0,3.0,4.22,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,12,220,34.2,4.32,0.12631578947368421,220.0,221.0,3.0,4.32,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,13,10,40.8,2.94,0.07205882352941177,10.0,11.0,5.0,2.94,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,14,30,47.7,3.55,0.07442348008385744,30.0,31.0,5.0,3.55,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8415315_1.out,humaneval,15,60,50.3,3.91,0.07773359840954275,60.0,61.0,5.0,3.91,7.0,1.0
