source_log,dataset,config_index,size,throughput,avg_acceptance_len,elapsed_time,draft,verify,depth,kv,launch,fixed
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,1,10,40.9,2.94,0.07188264058679707,10.0,11.0,1.0,2.94,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,2,30,48.2,3.57,0.07406639004149376,30.0,31.0,1.0,3.57,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,3,60,50.2,3.88,0.07729083665338644,60.0,61.0,1.0,3.88,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,4,100,48.8,4.09,0.08381147540983606,100.0,101.0,1.0,4.09,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,5,160,39.0,4.21,0.10794871794871795,160.0,161.0,1.0,4.21,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,6,220,34.5,4.27,0.12376811594202897,220.0,221.0,1.0,4.27,3.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,7,10,41.1,2.94,0.07153284671532846,10.0,11.0,3.0,2.94,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,8,30,47.8,3.54,0.07405857740585775,30.0,31.0,3.0,3.54,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,9,60,50.5,3.9,0.07722772277227723,60.0,61.0,3.0,3.9,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,10,100,48.6,4.07,0.08374485596707819,100.0,101.0,3.0,4.07,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,11,160,39.0,4.22,0.1082051282051282,160.0,161.0,3.0,4.22,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,12,220,34.7,4.32,0.12449567723342939,220.0,221.0,3.0,4.32,5.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,13,10,41.1,2.94,0.07153284671532846,10.0,11.0,5.0,2.94,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,14,30,47.9,3.55,0.07411273486430063,30.0,31.0,5.0,3.55,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,15,60,50.6,3.91,0.07727272727272727,60.0,61.0,5.0,3.91,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,16,100,49.6,4.16,0.08387096774193549,100.0,101.0,5.0,4.16,7.0,1.0
/u/sx24/scratch/LTD_reproduce/slurm/logs/grid_qwen14b_a6000_calib_8413257_1.out,humaneval,17,160,39.3,4.25,0.10814249363867685,160.0,161.0,5.0,4.25,7.0,1.0
